start	end	text
30000	59080	Allá brothers.
59080	69080	Con cuáles ardurto atento
71080	77080	engane el mío de fin.
78080	90080	Con cuáles ardurto atento
93080	106080	engane el mío de fin.
107080	117080	Con cuáles ardurto atento
118080	127080	engane el mío de fin.
127080	137080	Con cuáles ardurto atento
138080	149080	engane el mío de fin.
149080	159080	Con cuáles ardurto atento
160080	169080	engane el mío de fin.
170080	178080	Con cuáles ardurto atento
179080	189080	engane el mío de fin.
190080	199080	Con cuáles ardurto atento
199080	219080	engane el mío de fin.
229080	239080	Con cuáles ardurto atento
240080	249080	engane el mío de fin.
259080	269080	Con cuáles ardurto atento
