start	end	text
30000	35000	Música
35000	40000	Música
40000	45000	Música
45000	50000	Música
50000	55000	Música
55000	60000	Música
60000	65000	Música
65000	70000	Música
70000	75000	Música
75000	80000	Música
80000	85000	Música
85000	90000	Música
90000	95000	Música
95000	100000	Música
100000	105000	Música
105000	110000	Música
110000	115000	Música
115000	120000	Música
120000	125000	Música
125000	130000	Música
130000	135000	Música
135000	140000	Música
140000	145000	Música
145000	150000	Música
150000	155000	Música
155000	160000	Música
160000	165000	Música
165000	170000	Música
170000	175000	Música
175000	180000	Música
180000	185000	Música
185000	190000	Música
190000	195000	Música
195000	200000	Música
200000	205000	Música
205000	210000	Música
210000	215000	Música
215000	220000	Música
220000	225000	Música
225000	230000	Música
230000	235000	Música
235000	240000	Música
240000	245000	Música
245000	250000	Música
250000	255000	Música
255000	260000	Música
260000	265000	Música
265000	270000	Música
270000	275000	Música
275000	280000	Música
280000	285000	Música
285000	290000	Música
290000	295000	Música
295000	300000	Música
300000	305000	Música
305000	310000	Música
310000	315000	Música
315000	320000	Música
320000	325000	Música
325000	330000	Música
330000	335000	Música
335000	340000	Música
340000	345000	Música
345000	350000	Música
350000	355000	Música
355000	360000	Música
360000	365000	Música
365000	370000	Música
370000	375000	Música
375000	380000	Música
380000	385000	Música
385000	390000	Música
390000	395000	Música
395000	400000	Música
400000	405000	Música
405000	410000	Música
410000	415000	Música
415000	420000	Música
420000	425000	Música
425000	430000	Música
430000	435000	Música
435000	440000	Música
440000	445000	Música
445000	450000	Música
450000	455000	Música
455000	460000	Música
460000	465000	Música
465000	470000	Música
470000	475000	Música
475000	480000	Música
480000	485000	Música
485000	490000	Música
490000	495000	Música
495000	500000	Música
500000	505000	Música
505000	510000	Música
510000	515000	Música
515000	520000	Música
520000	525000	Música
525000	530000	Música
530000	535000	Música
535000	540000	Música
540000	545000	Música
545000	550000	Música
550000	555000	Música
555000	560000	Música
560000	565000	Música
565000	570000	Música
570000	575000	Música
575000	580000	Música
580000	585000	Música
585000	590000	Música
590000	595000	Música
595000	600000	Música
600000	605000	Música
605000	610000	Música
610000	615000	Música
615000	620000	Música
620000	625000	Música
625000	630000	Música
630000	635000	Música
635000	640000	Música
640000	645000	Música
645000	650000	Música
650000	655000	Música
655000	660000	Música
660000	665000	Música
665000	670000	Música
670000	675000	Música
675000	680000	Música
680000	685000	Música
685000	690000	Música
690000	695000	Música
695000	700000	Música
700000	705000	Música
705000	710000	Música
710000	715000	Música
715000	720000	Música
720000	725000	Música
725000	730000	Música
730000	735000	Música
735000	740000	Música
740000	745000	Música
745000	750000	Música
750000	755000	Música
755000	760000	Música
760000	765000	Música
765000	770000	Música
770000	775000	Música
775000	780000	Música
780000	785000	Música
785000	790000	Música
790000	795000	Música
795000	800000	Música
800000	805000	Música
805000	810000	Música
810000	815000	Música
815000	820000	Música
820000	825000	Música
825000	830000	Música
830000	835000	Música
835000	840000	Música
840000	845000	Música
845000	850000	Música
850000	855000	Música
855000	860000	Música
860000	865000	Música
865000	870000	Música
870000	875000	Música
875000	880000	Música
880000	885000	Música
885000	890000	Música
890000	895000	Música
895000	900000	Música
900000	905000	Música
905000	910000	Música
910000	915000	Música
915000	920000	Música
920000	925000	Música
925000	930000	Música
930000	935000	Música
935000	940000	Música
940000	945000	Música
945000	950000	Música
950000	955000	Música
955000	960000	Música
960000	965000	Música
965000	970000	Música
970000	975000	Música
975000	980000	Música
980000	985000	Música
985000	990000	Música
990000	995000	Música
995000	1000000	Música
1000000	1005000	Música
1005000	1010000	Música
1010000	1015000	Música
1015000	1020000	Música
1020000	1025000	Música
1025000	1030000	Música
1030000	1035000	Música
1035000	1040000	Música
1040000	1045000	Música
1045000	1050000	Música
1050000	1055000	Música
1055000	1060000	Música
1060000	1065000	Música
1065000	1070000	Música
1070000	1075000	Música
1075000	1080000	Música
1080000	1085000	Música
1085000	1090000	Música
1090000	1095000	Música
1095000	1100000	Música
1100000	1105000	Música
1105000	1110000	Música
1110000	1115000	Música
1115000	1120000	Música
1120000	1125000	Música
1125000	1130000	Música
1130000	1135000	Música
1135000	1140000	Música
1140000	1145000	Música
1145000	1150000	Música
1150000	1155000	Música
1155000	1160000	Música
1160000	1165000	Música
1165000	1170000	Música
1170000	1175000	Música
1175000	1180000	Música
1180000	1185000	Música
1185000	1190000	Música
1190000	1195000	Música
1195000	1200000	Música
1200000	1205000	Música
1205000	1210000	Música
1210000	1215000	Música
1215000	1220000	Música
1220000	1225000	Música
1225000	1230000	Música
1230000	1235000	Música
1235000	1240000	Música
1240000	1245000	Música
1245000	1250000	Música
1250000	1255000	Música
1255000	1260000	Música
1260000	1265000	Música
1265000	1270000	Música
1270000	1275000	Música
1275000	1280000	Música
1280000	1285000	Música
1285000	1290000	Música
1290000	1295000	Música
1295000	1300000	Música
1300000	1305000	Música
1305000	1310000	Música
1310000	1315000	Música
1315000	1320000	Música
1320000	1325000	Música
1325000	1330000	Música
1330000	1335000	Música
1335000	1340000	Música
1340000	1345000	Música
1345000	1350000	Música
1350000	1355000	Música
1355000	1360000	Música
1360000	1365000	Música
1365000	1370000	Música
1370000	1375000	Música
1375000	1380000	Música
1380000	1385000	Música
1385000	1390000	Música
1390000	1395000	Música
1395000	1400000	Música
1400000	1405000	Música
1405000	1410000	Música
1410000	1415000	Música
1415000	1420000	Música
1420000	1425000	Música
1425000	1430000	Música
1430000	1435000	Música
1435000	1440000	Música
1440000	1445000	Música
1445000	1450000	Música
1450000	1455000	Música
1455000	1460000	Música
1460000	1465000	Música
1465000	1470000	Música
1470000	1475000	Música
1475000	1480000	Música
1480000	1485000	Música
1485000	1490000	Música
1490000	1495000	Música
1495000	1500000	Música
1500000	1505000	Música
1505000	1510000	Música
1510000	1515000	Música
1515000	1520000	Música
1520000	1525000	Música
1525000	1530000	Música
1530000	1535000	Música
