start	end	text
0	1100	L.
60000	66200	¡No me digas! ¡Sigo Waterscrap!
66580	68480	Thanks.
73100	75140	Thank you.
84080	88880	¡Min ;)
118880	129880	Y divino, tremens factus sumigo.
129880	135880	Tremens factus sumigo.
135880	140880	Tremens factus sumigo.
140880	155880	Tremens factus sumigo.
155880	182880	Tremens factus sumigo.
182880	197880	Tremens factus sumigo.
197880	223880	Tremens factus sumigo.
223880	250880	Tremens factus sumigo.
250880	279880	Tremens factus sumigo.
279880	308880	Tremens factus sumigo.
309880	330880	Tremens factus sumigo.
330880	349880	Tremens factus sumigo.
349880	378880	Tremens factus sumigo.
379880	401880	Tremens factus sumigo.
401880	426880	Tremens factus sumigo.
426880	438880	Tremens factus sumigo.
438880	467880	Tremens factus sumigo.
468880	495880	Tremens factus sumigo.
496880	516880	Tremens factus sumigo.
516880	539880	Tremens factus sumigo.
539880	566880	Tremens factus sumigo.
566880	587880	Tremens factus sumigo.
587880	616880	Tremens factus sumigo.
616880	645880	Tremens factus sumigo.
646880	673880	Tremens factus sumigo.
673880	698880	Tremens factus sumigo.
698880	727880	Tremens factus sumigo.
728880	757880	Tremens factus sumigo.
758880	787880	Tremens factus sumigo.
788880	812880	Tremens factus sumigo.
812880	841880	Tremens factus sumigo.
842880	871880	Tremens factus sumigo.
872880	901880	Tremens factus sumigo.
902880	912880	Tremens factus sumigo.
