start	end	text
30000	40000	Música
40000	50000	Música
50000	59000	Música
59000	69000	Música
69000	79000	Música
79000	89000	Música
89000	99000	Música
99000	109000	Música
109000	119000	Música
119000	129000	Música
129000	139000	Música
139000	149000	Música
149000	159000	Música
159000	169000	Música
169000	179000	Música
179000	189000	Música
189000	199000	Música
199000	209000	Música
209000	219000	Música
219000	229000	Música
229000	239000	Música
239000	249000	Música
249000	259000	Música
259000	269000	Música
269000	279000	Música
279000	289000	Música
289000	299000	Música
299000	309000	Música
309000	319000	Música
319000	329000	Música
329000	339000	Música
339000	349000	Música
349000	359000	Música
359000	369000	Música
369000	379000	Música
379000	389000	Música
389000	399000	Música
399000	419000	Música
419000	427000	Música
427000	437000	Música
437000	447000	Música
447000	467000	Música
467000	477000	Música
477000	487000	Música
487000	497000	Música
497000	507000	Música
507000	517000	Música
517000	537000	Música
537000	557000	Música
557000	567000	Música
567000	577000	Música
577000	587000	Música
587000	597000	Música
597000	607000	Música
