start	end	text
0	15480	Gracias, 나오는 pocas.
15480	22480	de la Iglesia de Jesucristo de los Santos de los Últimos días.
45480	50480	La Iglesia de Jesucristo de los Santos de los Últimos días.
75480	80480	La Iglesia de Jesucristo de los Santos de los Últimos días.
105480	110480	La Iglesia de Jesucristo de los Santos de los Últimos días.
135480	140480	La Iglesia de Jesucristo de los Santos de los Últimos días.
165480	170480	La Iglesia de Jesucristo de los Santos de los Últimos días.
170480	175480	La Iglesia de Jesucristo de los Santos de los Últimos días.
195480	200480	La Iglesia de Jesucristo de los Santos de los Últimos días.
200480	205480	La Iglesia de Jesucristo de los Santos de los Últimos días.
225480	230480	La Iglesia de Jesucristo de los Santos de los Últimos días.
230480	235480	la Iglesia de Jesucristo de los Santos de los Últimos días.
235480	239480	La Iglesia de Jesucristo de los Santos de los Últimos días
239480	244980	La Iglesia de Jesucristo de los Santos de los Últimos días.
244980	249980	la Iglesia de Jesucristo de los Santos de los Últimos días.
249980	254980	La Iglesia de Jesucristo de los Santos de los Últimos días.
284980	286980	y
286980	288980	y
288980	290980	y
290980	292980	y
292980	294980	y
294980	296980	y
296980	298980	y
298980	300980	y
300980	302980	y
302980	304980	y
304980	306980	y
306980	308980	y
308980	311980	y
311980	315980	y
315980	319980	y
319980	323980	y
323980	327980	y
327980	331980	y
331980	335980	y
335980	347980	y
347980	351980	y
351980	355980	y
355980	359980	y
359980	363980	y
363980	367980	y
367980	371980	y
371980	375980	y
375980	379980	y
379980	383980	y
383980	387980	y
387980	417980	
417980	447980	
447980	477980	
477980	507980	
507980	537980	
537980	541980	y
541980	545980	y
545980	549980	y
549980	553980	y
553980	557980	y
557980	561980	y
561980	591980	
591980	603770	
