start	end	text
30000	59920	Aquí de eterno apuente estáis conmigo,
59920	80840	que bien se ayuda a tener su vanidad aunque este noche se orice no lo se,
80840	85760	pues no le viene,
85760	106480	pero si todo difiende ya viene aunque este noche se que no puede ser,
106480	112240	pues no le viene,
112240	128400	pero si todo difiende ya viene aunque este noche se que no puede ser,
136480	144400	pues no le viene,
144400	168320	pero si todo difiende ya viene aunque este noche se que no puede ser,
168320	179240	pues no le viene,
179240	197240	pero si todo difiende ya viene aunque este noche se que no puede ser,
197240	220160	aunque este noche el corrente que nace de esta fuente bien se que están capaz y tan potente,
220160	244080	aunque este noche a que esta viva fuente que nubecero en este pan de villano naveo,
244080	253000	aunque este noche
274080	298000	se que no puede ser,
298000	321920	porque este noche el corrente que nace de esta fuente bien se que están capaz y tan potente,
321920	345840	porque este noche el corrente que nace de esta fuente bien se que están capaz y tan potente,
