start	end	text
0	8880	Partagena de la jot 엄청 mijn
10880	20380	La prima shote sine è
20380	28720	Corre e sorce e scavilla
28720	47240	y la única voz, o morir, o ver que no pargedeo.
47240	66240	La criosa ríes vila, cuáres urgete exfavila,
66240	85240	yuricandos, o morir, o ver que no pargedeo.
85240	112240	La criosa ríes vila, cuáres urgete exfavila,
112240	141240	yuricandos, o morir, o ver que no pargedeo.
142240	168240	La criosa ríes vila, cuáres urgete exfavila,
168240	197240	o morir, o ver que no pargedeo.
197240	226240	La criosa ríes vila, cuáres urgete exfavila,
226240	237240	cuáres urgete exfavila.
237240	257240	La criosa ríes vila, cuáres urgete exfavila,
257240	281240	cuáres urgete exfavila,
287240	308240	que vien, que vien.
308240	318240	Tóna es reptil,
318240	330240	tóna es reptil.
338240	353240	Tóna es reptil,
353240	378240	tóna es reptil.
